Date,Open,High,Low,Close,Adj Close,Volume
2009-06-15,9673.500000,9679.400391,9494.599609,9518.700195,9518.690430,191600
2009-06-16,9540.299805,9588.000000,9495.000000,9497.900391,9497.890625,193600
2009-06-17,9451.400391,9471.500000,9200.700195,9283.200195,9283.190430,352600
2009-06-18,9309.099609,9414.200195,9218.900391,9384.000000,9383.990234,243800
2009-06-19,9373.599609,9603.700195,9350.700195,9580.900391,9580.890625,361200
2009-06-22,9566.799805,9566.799805,9331.400391,9338.500000,9338.490234,251600
2009-06-23,9305.099609,9413.299805,9285.000000,9348.700195,9348.690430,250200
2009-06-24,9389.599609,9641.200195,9313.299805,9617.599609,9617.589844,235400
2009-06-25,9618.599609,9714.900391,9470.799805,9667.200195,9667.190430,222200
2009-06-26,9717.900391,9789.400391,9625.000000,9686.900391,9686.890625,196000
2009-06-29,9642.400391,9854.200195,9632.799805,9845.700195,9845.690430,237600
2009-06-30,9889.799805,9890.599609,9728.299805,9787.799805,9787.790039,238000
2009-07-01,9798.099609,9929.400391,9792.500000,9903.700195,9903.690430,219200
2009-07-02,9857.799805,9922.299805,9643.500000,9643.500000,9643.490234,228000
2009-07-03,9696.799805,9723.799805,9591.000000,9707.799805,9707.790039,128400
2009-07-06,9627.599609,9634.099609,9469.299805,9569.000000,9568.990234,177400
2009-07-07,9597.799805,9683.299805,9506.599609,9520.000000,9519.990234,201400
2009-07-08,9461.799805,9503.500000,9326.000000,9360.599609,9360.589844,199800
2009-07-09,9400.299805,9517.700195,9390.299805,9443.099609,9443.089844,177000
2009-07-10,9382.299805,9431.000000,9324.599609,9344.900391,9344.890625,178600
2009-07-13,9295.299805,9579.299805,9241.200195,9567.400391,9567.390625,175400
2009-07-14,9612.599609,9676.099609,9551.700195,9634.000000,9633.990234,175800
2009-07-15,9687.099609,9905.299805,9670.799805,9905.299805,9905.290039,240800
2009-07-16,9887.700195,10069.299805,9855.099609,9997.599609,9997.589844,227400
2009-07-17,10049.299805,10125.799805,9962.900391,10041.900391,10041.890625,173000
2009-07-20,10136.900391,10163.700195,10078.700195,10142.799805,10142.789063,173800
2009-07-21,10163.000000,10222.700195,10095.799805,10122.200195,10122.189453,218800
2009-07-22,10123.299805,10153.400391,10046.599609,10153.400391,10153.389648,169200
2009-07-23,10176.700195,10403.000000,10170.799805,10369.799805,10369.789063,237200
2009-07-24,10360.900391,10496.799805,10343.000000,10438.599609,10438.588867,210200
2009-07-27,10535.900391,10638.700195,10488.200195,10591.700195,10591.689453,201000
2009-07-28,10614.299805,10737.599609,10600.400391,10664.000000,10663.989258,255600
2009-07-29,10648.900391,10743.299805,10598.700195,10661.599609,10661.588867,231800
2009-07-30,10743.200195,10895.299805,10663.000000,10874.400391,10874.389648,248000
2009-07-31,10841.500000,10932.900391,10778.299805,10855.099609,10855.088867,267200
2009-08-03,10809.900391,10952.700195,10800.099609,10901.000000,10900.989258,182000
2009-08-04,10905.700195,10905.700195,10758.200195,10876.799805,10876.789063,157200
2009-08-05,10880.599609,10922.500000,10672.599609,10704.400391,10704.389648,188200
